1,2,3,,,,,,,,,,,,,
QQ,"1030001 => ""WebQQ""",,,,,,,,,,,,,,
,"  910002 => ""总理留言板""",,,,,,,,,,,,,,
,"  910003 => ""人民网留言板""",,,,,,,,,,,,,,
,"  910020 => ""四川省信访局""",,,,,,,,,,,,,,
,"  910021 => ""中央纪委监察部-四川""",,,,,,,,,,,,,,
,"  910030 => ""广安信访局""",,,,,,,,,,,,,,
,"  910031 => ""甘孜州长信箱""",,,,,,,,,,,,,,
,"  910032 => ""眉山信访局""",,,,,,,,,,,,,,
,"  910033 => ""眉山市长信箱""",,,,,,,,,,,,,,
,"  910034 => ""眉山市组织部""",,,,,,,,,,,,,,
,"  910035 => ""东坡区区长信箱""",,,,,,,,,,,,,,
,"  910036 => ""东坡区监察局""",,,,,,,,,,,,,,
,"  910037 => ""东坡区法院""",,,,,,,,,,,,,,
,"  910038 => ""仁寿县领导信箱""",,,,,,,,,,,,,,
,"  910039 => ""仁寿县法院""",,,,,,,,,,,,,,
,"  910040 => ""青神县县长信箱""",,,,,,,,,,,,,,
,"  910041 => ""青神县党务公开网信箱""",,,,,,,,,,,,,,
,"  910042 => ""青神县法院""",,,,,,,,,,,,,,
,"  910043 => ""洪雅县政府留言""",,,,,,,,,,,,,,
,"  910044 => ""洪雅县法院""",,,,,,,,,,,,,,
,"  910045 => ""丹棱县县长信箱""",,,,,,,,,,,,,,
,"  1250002 => ""百度""",,,,,,,,,,,,,,
,"  1250003 => ""搜狗""",,,,,,,,,,,,,,
,"  1250005 => ""搜搜""",,,,,,,,,,,,,,
,"  1250008 => ""微软bing""",,,,,,,,,,,,,,
,"  1250013 => ""360搜索""",,,,,,,,,,,,,,
,"  1259001 => ""淘宝""",///,,,,,,,,,,,,,
,"  1259002 => ""天猫""",///,,,,,,,,,,,,,
,"  1259003 => ""京东""",///,,,,,,,,,,,,,
,"  1259999 => ""其他""",,,,,,,,,,,,,,
,"  1100001 => ""无界""",******,,,,,,,,,,,,,
,"  1100002 => ""自由门""",******,,,,,,,,,,,,,
,"  1109999 => ""其他""",,,,,,,,,,,,,,
,"  1420004 => ""QQ特征串""",,,,,,,,,,,,,,
,"  1420007 => ""暴风影音""",,,,,,,,,,,,,,
,"  1420010 => ""酷狗""",,,,,,,,,,,,,,
,"  1420026 => ""大众点评""",,,,,,,,,,,,,,
,"  1420035 => ""搜狐视频""",,,,,,,,,,,,,,
,"  1420049 => ""WIFI万能钥匙""",,,,,,,,,,,,,,
,"  1420052 => ""PPTV""",,,,,,,,,,,,,,
,"  1420067 => ""乐视视频""",,,,,,,,,,,,,,
,"  1420069 => ""风行电影""",,,,,,,,,,,,,,
,"  1420088 => ""360安全卫士""",,,,,,,,,,,,,,
,"  1420089 => ""美团""",///,,,,,,,,,,,,,
,"  1420090 => ""百度地图""",,,,,,,,,,,,,,
,"  1420091 => ""同程旅游""",///,,,,,,,,,,,,,
,"  1420092 => ""途牛旅游""",,,,,,,,,,,,,,
,"  1420093 => ""前程无忧""",///,,,,,,,,,,,,,
,"  1420094 => ""酷我音乐""",,,,,,,,,,,,,,
,"  1420095 => ""天天动听""",,,,,,,,,,,,,,
,"  1420096 => ""今日头条""",///,,,,,,,,,,,,,
,"  1420097 => ""美图秀秀""",,,,,,,,,,,,,,
,"  1420098 => ""爱奇艺视频""",///,,,,,,,,,,,,,
,"  1420099 => ""拉手网""",///,,,,,,,,,,,,,
,"  1420100 => ""天猫""",///,,,,,,,,,,,,,
,"  1280005 => ""华为网盘""",,,,,,,,,,,,,,
,"  1280002 => ""115""",,,,,,,,,,,,,,
,"  1280015 => ""百度云""",,,,,,,,,,,,,,
,"  1280003 => ""360""",///,,,,,,,,,,,,,
,"  1280004 => ""微云""",,,,,,,,,,,,,,
,"  189999 => ""其他""",,,,,,,,,,,,,,
,"  1210001 => ""PPTP""",******,,,,,,,,,,,,,
,"  1210002 => ""L2TP""",******,,,,,,,,,,,,,
,"  ""07"" => ""FTP""",******,,,,,,,,,,,,,
,"  ""09"" => ""Telnet""",******,,,,,,,,,,,,,
